"Kreis","Land- und Forstwirtschaft, Fischerei (A)","Produzierendes Gewerbe ohne Baugewerbe (B-E)","Verarbeitendes Gewerbe (C)","Baugewerbe (F)","Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation","Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen","öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit"
"Rhein-Pfalz-Kreis",5.8,5.6,4.5,4.7,11.5,5.4,11.6
"Mainz-Bingen, Landkreis",3,16.4,15.7,5.3,21.4,9.6,22.2
"Südwestpfalz, Landkreis",0.7,4.5,4.4,2.5,7.7,2.1,6.9
"Stuttgart, Landeshauptstadt, Stadtkreis",0.9,80.6,73.7,16.4,111.4,141.4,160.8
"Böblingen, Landkreis",0.8,79.4,78.1,9,53.5,41.4,42.7
"Esslingen, Landkreis",1.4,80.1,77.9,14.9,69.3,45.3,61.1
"Göppingen, Landkreis",0.9,35.5,34.2,9.4,27.4,17.1,32.4
"Ludwigsburg, Landkreis",3,70.4,68.4,14.1,66.7,42.1,62.5
"Rems-Murr-Kreis, Landkreis",2.1,53.8,52.2,13.1,46.1,30.3,51.6
"Heilbronn, Stadtkreis",0.6,15.6,13.7,3.7,24.9,19.4,30.2
"Heilbronn, Landkreis",3.5,62.8,60.5,9.5,37.1,23,32.1
"Hohenlohekreis, Landkreis",1.9,25.1,24.6,3.7,20.7,5.6,12.5
"Schwäbisch Hall, Landkreis",2.5,34.4,32.8,7.4,22.5,17.1,24.6
"Main-Tauber-Kreis, Landkreis",1.5,23.1,22.7,4.4,15.6,7.4,21.4
"Heidenheim, Landkreis",0.7,21.6,20.7,3,14.1,8.9,15.8
"Ostalbkreis, Landkreis",2,55.1,53.4,9.8,34.8,18.9,46.3
"Baden-Baden, Stadtkreis",0.2,5.8,5.1,2.1,13.5,6.3,13.2
"Karlsruhe, Stadtkreis",0.3,25,23,7.9,69.8,54.1,78.2
"Karlsruhe, Landkreis",1.5,51.9,48.8,12.5,49.7,40,47.3
"Rastatt, Landkreis",1,44.7,43.5,6.7,23.1,14.3,24.1
"Heidelberg, Stadtkreis",0.3,11.8,10.6,2.4,24.3,22.4,56.8
"Mannheim, Stadtkreis",0.4,48.5,43.6,10.4,62,54.9,64.1
"Neckar-Odenwald-Kreis, Landkreis",1.1,19.9,18.9,4.5,12.6,6.3,21.7
"Rhein-Neckar-Kreis, Landkreis",2,44,41.8,13.6,73.8,33.9,60.9
"Pforzheim, Stadtkreis",0.1,17.5,16.1,2.9,20.6,12,23.3
"Calw, Landkreis",0.6,15.6,15,4.3,16.6,6.6,21.1
"Enzkreis, Landkreis",0.6,33.9,33.1,4.3,17,8.6,16.7
"Freudenstadt, Landkreis",0.5,21.5,21.1,3.8,15,6.6,14.8
"Freiburg im Breisgau, Stadtkreis",0.5,14.6,12.6,4.4,45.7,25.5,80.4
"Breisgau-Hochschwarzwald, Landkreis",3.7,26.4,25.5,8.5,32.8,13.9,30.6
"Emmendingen, Landkreis",1.5,20.1,19.6,5.2,15.9,8.6,20.6
